STOP_ID,DIRECTION_ID,STATION_DESCRIPTIVE_NAME,MAP_ID,Location
30153,N,Monroe (Blue Line),40790,"(41.880703, -87.629378)"
30040,E,Damen (Pink Line),40210,"(41.854517, -87.675975)"
30179,E,Pulaski (Blue Line),40920,"(41.873797, -87.725663)"
30186,S,Pulaski (Orange Line),40960,"(41.799756, -87.724493)"
30213,N,35th-Bronzeville-IIT (Green Line),41120,"(41.831677, -87.625826)"
30144,W,Western (Pink Line),40740,"(41.854225, -87.685129)"
30235,N,"Fullerton (Red, Brown & Purple lines)",41220,"(41.925051, -87.652866)"
30148,S,Granville (Red Line),40760,"(41.993664, -87.659202)"
30071,S,Southport (Brown Line),40360,"(41.943744, -87.663619)"
30280,S,Chicago (Red Line),41450,"(41.896671, -87.628176)"
30031,W,"LaSalle/Van Buren (Brown, Orange, Purple & Pink lines)",40160,"(41.8768, -87.631739)"
30222,W,Clinton (Green & Pink lines),41160,"(41.885678, -87.641782)"
30142,S,"Washington/Wells (Brown, Orange, Purple & Pink lines)",40730,"(41.882695, -87.63378)"
30224,S,Garfield (Red Line),41170,"(41.79542, -87.631157)"
30244,W,Austin (Green Line),41260,"(41.887293, -87.774135)"
30113,E,54th/Cermak (Pink Line),40580,"(41.85177331, -87.75669201)"
30282,S,Irving Park (Brown Line),41460,"(41.954521, -87.674868)"
30197,N,Logan Square (Blue Line),41020,"(41.929728, -87.708541)"
30152,W,Central Park (Pink Line),40780,"(41.853839, -87.714842)"
30087,W,California (Pink Line),40440,"(41.854109, -87.694774)"
30201,E,Kedzie (Pink Line),41040,"(41.853964, -87.705408)"
30069,W,UIC-Halsted (Blue Line),40350,"(41.875474, -87.649707)"
30074,E,"Clark/Lake (Blue, Brown, Green, Orange, Purple & Pink lines)",40380,"(41.885737, -87.630886)"
30133,N,Dempster (Purple Line),40690,"(42.041655, -87.681602)"
30081,S,"Roosevelt (Red, Orange & Green lines)",41400,"(41.867405, -87.62659)"
30034,E,Oak Park (Blue Line),40180,"(41.872108, -87.791602)"
30168,S,Francisco (Brown Line),40870,"(41.966046, -87.701644)"
30009,W,Cicero (Green Line),40480,"(41.886519, -87.744698)"
30259,N,Montrose (Blue Line),41330,"(41.961539, -87.743574)"
30125,N,North/Clybourn (Red Line),40650,"(41.910655, -87.649177)"
30172,S,O'Hare (Blue Line),40890,"(41.97766526, -87.90422307)"
30045,S,Cumberland (Blue Line),40230,"(41.984246, -87.838028)"
